DEPT,TENS,CALI,BS,GR:1,GR:2,GR:3,PEFZ,RLA5,RLA0,RLA2,RXOZ,TNPH:1,RSOZ,RLA3,TNPH:2,RT,DT,RLA1,RXO,RLA4,NPHI,GR:4,RHOZ
1166.012,2482.999,8.701,8.5,120.373,98.995,124.1,2.735,20.712,0.093,7.956,1.304,0.3,0.0,12.446,0.3,29.495,116.631,4.133,1.773,16.249,0.296,99.868,2.302
1166.165,2460.062,8.669,8.5,117.234,98.166,116.49,2.729,20.437,0.092,7.956,1.327,0.31,0.0,12.32,0.309,28.893,116.823,4.054,1.711,16.012,0.317,96.593,2.293
1166.317,2466.334,8.593,8.5,108.022,100.177,110.92,2.754,20.442,0.091,7.714,1.247,0.334,0.0,12.34,0.334,28.997,117.372,3.932,1.637,16.005,0.326,97.014,2.275
1166.47,2527.062,8.606,8.5,105.111,98.851,96.814,2.767,21.273,0.093,7.833,1.196,0.341,0.0,12.781,0.342,30.274,118.526,4.002,1.659,16.625,0.342,106.443,2.265
1166.622,2519.4,8.612,8.5,105.882,96.052,107.297,2.752,21.677,0.095,7.804,1.169,0.358,0.0,12.881,0.358,30.9,118.878,3.953,1.629,16.922,0.329,92.226,2.264
1166.774,2468.249,8.612,8.5,113.114,88.439,113.238,2.722,22.952,0.096,7.991,1.174,0.337,0.0,13.433,0.337,32.795,118.995,3.983,1.613,17.946,0.344,89.243,2.264
1166.927,2483.438,8.631,8.5,110.852,89.365,118.903,2.669,22.308,0.093,7.549,1.039,0.358,0.0,12.962,0.358,31.745,121.1,3.655,1.431,17.44,0.319,83.698,2.256
1167.079,2532.866,8.65,8.5,105.24,90.232,100.405,2.611,23.246,0.09,7.716,0.936,0.327,0.0,13.491,0.327,32.847,122.294,3.611,1.358,18.106,0.321,94.942,2.242
1167.232,2483.188,8.593,8.5,105.874,92.21,96.082,2.572,24.076,0.089,7.93,0.871,0.322,0.0,14.025,0.322,33.731,122.801,3.607,1.309,18.638,0.3,91.772,2.229
1167.384,2502.751,8.574,8.5,106.282,90.773,121.149,2.562,24.227,0.088,8.099,0.884,0.308,0.0,14.211,0.308,33.592,123.369,3.593,1.265,18.674,0.329,90.069,2.225
1167.536,2477.314,8.593,8.5,112.922,88.638,101.645,2.56,24.097,0.087,8.36,0.899,0.333,0.0,14.296,0.333,32.868,122.827,3.552,1.189,18.548,0.323,90.835,2.232
1167.689,2453.063,8.631,8.5,109.737,86.334,115.93,2.571,24.345,0.088,8.636,0.937,0.329,0.0,14.493,0.329,33.155,122.82,3.657,1.225,18.809,0.334,85.068,2.242
1167.841,2446.668,8.669,8.5,110.287,85.309,111.652,2.571,24.582,0.089,8.535,0.995,0.346,0.0,14.522,0.346,33.729,122.806,3.68,1.263,18.981,0.332,83.082,2.248
1167.994,2505.313,8.698,8.5,106.951,87.807,103.216,2.584,24.225,0.09,8.008,0.976,0.346,0.0,13.922,0.346,33.85,123.502,3.615,1.329,18.617,0.333,87.528,2.24
1168.146,2499.313,8.689,8.5,103.804,92.999,105.783,2.567,24.461,0.089,7.591,0.925,0.34,0.0,13.547,0.34,34.754,124.105,3.529,1.358,18.679,0.314,92.675,2.233
1168.298,2459.866,8.717,8.5,103.432,94.175,102.554,2.562,25.186,0.089,7.488,0.882,0.322,0.0,13.666,0.322,36.215,124.492,3.573,1.412,19.128,0.313,98.946,2.227
